HWM_ID,lat,lon,quality,elev_m,"land, m MSL",Description,vdatum,elev_msl_m
201,25.8407103825,-80.1762295082,F,1.73736,1.40208,F,MSL,1.73736
202,25.8401639344,-80.1767759563,G,1.73736,1.40208,G,MSL,1.73736
203,25.8404371585,-80.1767759563,G,1.73736,1.40208,G,MSL,1.73736
204,25.8398907104,-80.1773224044,G,1.43256,1.12776,G,MSL,1.43256
206,25.8398907104,-80.1778688525,F,1.76784,1.43256,F,MSL,1.76784
207,25.8265027322,-80.1808743169,F,1.28016,1.28016,F,MSL,1.28016
211,25.8183060109,-80.1841530055,G,1.12776,1.12776,G,MSL,1.12776
212,25.8103825137,-80.1729508197,F,1.2192,1.2192,F,MSL,1.2192
213,25.8103825137,-80.1726775956,G,1.15824,1.15824,G,MSL,1.15824
214,25.8106557377,-80.1724043716,G,1.12776,1.12776,G,MSL,1.12776
215,25.8098360656,-80.1729508197,G,1.28016,1.28016,G,MSL,1.28016
216,25.8098360656,-80.1726775956,G,1.34112,1.34112,G,MSL,1.34112
217,25.8098360656,-80.1724043716,G,1.40208,1.40208,G,MSL,1.40208
219,25.8095628415,-80.1513661202,F,1.2192,1.2192,F,MSL,1.2192
220,25.8095628415,-80.1508196721,F,1.2192,1.2192,F,MSL,1.2192
223,25.8120218579,-80.143715847,F,1.09728,1.09728,F,MSL,1.09728
224,25.812568306,-80.143442623,F,1.09728,1.09728,F,MSL,1.09728
225,25.8040983607,-80.1868852459,F,1.58496,1.3716,F,MSL,1.58496
226,25.8038251366,-80.1868852459,F,1.58496,1.15824,F,MSL,1.58496
227,25.8038251366,-80.1863387978,F,1.61544,1.49352,F,MSL,1.61544
229,25.7819672131,-80.1672131148,G,0.82296,0.4572,G,MSL,0.82296
232,25.7890710383,-80.156284153,F,1.34112,1.34112,F,MSL,1.34112
235,25.7778688525,-80.1491803279,G,1.43256,1.34112,G,MSL,1.43256
236,25.7770491803,-80.1846994536,F,1.61544,1.15824,F,MSL,1.61544
238,25.7633879781,-80.1382513661,F,1.64592,1.64592,F,MSL,1.64592
239,25.7620218579,-80.1352459016,F,1.43256,1.43256,F,MSL,1.43256
240,25.7612021858,-80.1352459016,G,2.624328,2.410968,G,MSL,2.624328
241,25.7557377049,-80.1396174863,G,2.01168,1.58496,G,MSL,2.01168
242,25.7557377049,-80.1401639344,G,2.01168,1.79832,G,MSL,2.01168
243,25.7603825137,-80.1928961749,F,2.31648,2.22504,F,MSL,2.31648
244,25.7606557377,-80.1926229508,G,2.34696,1.9812,G,MSL,2.34696
246,25.7601092896,-80.1912568306,F,2.286,1.6764,F,MSL,2.286
247,25.7601092896,-80.1904371585,E,2.286,0.94488,E,MSL,2.286
248,25.7595628415,-80.1912568306,F,2.31648,1.40208,F,MSL,2.31648
249,25.7592896175,-80.1901639344,F,2.4384,1.3716,F,MSL,2.4384
250,25.7590163934,-80.1898907104,E,2.286,1.15824,E,MSL,2.286
251,25.7587431694,-80.1893442623,G,2.22504,2.19456,G,MSL,2.22504
252,25.7584699454,-80.1893442623,G,2.25552,2.22504,G,MSL,2.25552
253,25.7568306011,-80.1896174863,E,2.37744,1.6764,E,MSL,2.37744
254,25.756557377,-80.1898907104,E,2.22504,1.46304,E,MSL,2.22504
259,25.7901639344,-80.2338797814,F,1.58496,1.58496,F,MSL,1.58496
260,25.7898907104,-80.2333333333,F,1.55448,1.55448,F,MSL,1.55448
307,25.7087431694,-80.250273224,G,2.83464,1.88976,G,MSL,2.83464
309,25.7084699454,-80.2516393443,E,2.83464,2.22504,E,MSL,2.83464
310,25.7076502732,-80.2540983607,G,2.83464,2.46888,G,MSL,2.83464
312,25.7076502732,-80.2546448087,E,2.80416,1.9812,E,MSL,2.80416
313,25.7076502732,-80.2557377049,G,2.77368,2.04216,G,MSL,2.77368
315,25.6890710383,-80.2551912568,F,2.80416,2.01168,F,MSL,2.80416
316,25.6893442623,-80.2617486339,F,2.8956,2.80416,F,MSL,2.8956
317,25.6890710383,-80.268579235,E,2.83464,2.286,E,MSL,2.83464
319,25.6885245902,-80.2674863388,E,2.86512,1.61544,E,MSL,2.86512
321,25.6786885246,-80.2568306011,F,2.7432,1.49352,F,MSL,2.7432
323,25.6789617486,-80.2579234973,G,2.8956,2.34696,G,MSL,2.8956
325,25.6806010929,-80.2647540984,E,2.83464,0.88392,E,MSL,2.83464
326,25.6702185792,-80.2846994536,F,2.16408,2.16408,F,MSL,2.16408
327,25.6677595628,-80.2833333333,F,2.49936,2.49936,F,MSL,2.49936
328,25.6538251366,-80.2822404372,G,2.65176,2.19456,G,MSL,2.65176
329,25.6538251366,-80.2816939891,G,2.56032,2.22504,G,MSL,2.56032
330,25.6538251366,-80.281420765,G,2.62128,2.31648,G,MSL,2.62128
331,25.6535519126,-80.2800546448,G,2.68224,1.12776,G,MSL,2.68224
332,25.6519125683,-80.2734972678,G,2.65176,2.16408,G,MSL,2.65176
333,25.6489071038,-80.2759562842,G,2.98704,2.286,G,MSL,2.98704
334,25.6483606557,-80.2710382514,G,3.56616,3.2004,G,MSL,3.56616
335,25.6480874317,-80.2721311475,G,2.80416,2.4384,G,MSL,2.80416
338,25.6478142077,-80.2710382514,F,3.16992,1.8288,F,MSL,3.16992
343,25.6303278689,-80.2991803279,G,4.45008,3.2004,G,MSL,4.45008
344,25.6292349727,-80.3005464481,F,4.4196,4.4196,F,MSL,4.4196
345,25.6278688525,-80.3008196721,F,4.51104,4.35864,F,MSL,4.51104
346,25.6297814208,-80.3005464481,G,4.63296,2.71272,G,MSL,4.63296
347,25.6508196721,-80.2784153005,G,3.10896,2.95656,G,MSL,3.10896
401,25.7420765027,-80.2158469945,F,2.80416,2.62128,F,MSL,2.80416
402,25.7415300546,-80.2150273224,G,2.83464,1.85928,G,MSL,2.83464
403,25.7407103825,-80.2142076503,F,2.77368,2.49936,F,MSL,2.77368
405,25.7404371585,-80.2139344262,G,2.8956,2.77368,G,MSL,2.8956
406,25.7390710383,-80.2174863388,G,2.77368,2.25552,G,MSL,2.77368
410,25.737704918,-80.225136612,F,2.7432,1.70688,F,MSL,2.7432
411,25.7371584699,-80.224863388,G,2.86512,1.8288,G,MSL,2.86512
412,25.7368852459,-80.224863388,E,2.77368,1.88976,E,MSL,2.77368
414,25.7360655738,-80.2237704918,G,3.01752,2.07264,G,MSL,3.01752
416,25.7363387978,-80.2245901639,G,2.95656,2.07264,G,MSL,2.95656
420,25.7273224044,-80.2366120219,E,2.83464,2.46888,E,MSL,2.83464
422,25.7281420765,-80.2379781421,E,2.92608,1.0668,E,MSL,2.92608
425,25.7256830601,-80.2393442623,G,2.98704,1.6764,G,MSL,2.98704
426,25.724863388,-80.2404371585,F,3.29184,1.79832,F,MSL,3.29184
428,25.724863388,-80.2409836066,F,3.01752,2.4384,F,MSL,3.01752
430,25.7174863388,-80.2459016393,G,2.95656,2.19456,G,MSL,2.95656
431,25.7174863388,-80.2456284153,F,2.19456,1.76784,F,MSL,2.19456
432,25.7174863388,-80.2467213115,G,2.95656,2.7432,G,MSL,2.95656
433,25.7174863388,-80.2464480874,G,2.95656,2.286,G,MSL,2.95656
434,25.7087431694,-80.2489071038,E,2.83464,1.58496,E,MSL,2.83464
435,25.7464480874,-80.1459016393,G,1.9812,1.524,G,MSL,1.9812
437,25.7308743169,-80.1655737705,F,2.16408,1.55448,F,MSL,2.16408
438,25.7322404372,-80.1606557377,G,1.8288,1.2192,G,MSL,1.8288
439,25.7316939891,-80.1612021858,G,2.19456,1.70688,G,MSL,2.19456
440,25.731420765,-80.1631147541,G,2.19456,1.55448,G,MSL,2.19456
441,25.7308743169,-80.1620218579,F,2.37744,1.79832,F,MSL,2.37744
442,25.7262295082,-80.1554644809,G,2.25552,1.09728,G,MSL,2.25552
443,25.7237704918,-80.1527322404,G,2.25552,1.18872,G,MSL,2.25552
444,25.7150273224,-80.156010929,G,2.31648,1.61544,G,MSL,2.31648
445,25.7139344262,-80.1568306011,G,2.22504,1.6764,G,MSL,2.22504
447,25.7040983607,-80.1568306011,G,2.25552,1.64592,G,MSL,2.25552
448,25.6983606557,-80.1644808743,G,2.16408,1.64592,G,MSL,2.16408
449,25.6961748634,-80.1587431694,G,2.25552,1.79832,G,MSL,2.25552
450,25.6961748634,-80.1696721311,G,2.49936,1.46304,G,MSL,2.49936
452,25.6948087432,-80.1718579235,G,2.34696,1.79832,G,MSL,2.34696
454,25.6896174863,-80.1734972678,G,2.31648,1.85928,G,MSL,2.31648
457,25.6896174863,-80.1696721311,F,2.10312,1.49352,F,MSL,2.10312
458,25.6890710383,-80.1699453552,F,2.1336,1.64592,F,MSL,2.1336
459,25.6907103825,-80.1674863388,G,2.07264,1.2192,G,MSL,2.07264
460,25.6907103825,-80.1644808743,G,1.95072,1.49352,G,MSL,1.95072
461,25.6904371585,-80.1603825137,G,2.07264,1.524,G,MSL,2.07264
462,25.6904371585,-80.1592896175,G,1.9812,1.524,G,MSL,1.9812
464,25.6920765027,-80.1568306011,G,2.92608,2.1336,G,MSL,2.92608
468,25.681147541,-80.1628415301,G,1.76784,1.24968,G,MSL,1.76784
470,25.681420765,-80.1601092896,G,2.01168,1.8288,G,MSL,2.01168
472,25.6677595628,-80.1568306011,G,2.65176,2.52984,G,MSL,2.65176
501,25.6234972678,-80.343715847,F,2.19456,2.19456,F,MSL,2.19456
502,25.6234972678,-80.3442622951,F,2.19456,2.19456,F,MSL,2.19456
503,25.6232240437,-80.3428961749,F,2.5908,2.5908,F,MSL,2.5908
504,25.6229508197,-80.343442623,F,2.52984,2.52984,F,MSL,2.52984
505,25.6229508197,-80.3428961749,G,2.62128,2.62128,G,MSL,2.62128
506,25.6229508197,-80.3423497268,F,2.49936,2.49936,F,MSL,2.49936
507,25.6142076503,-80.3286885246,F,2.31648,2.31648,F,MSL,2.31648
508,25.6136612022,-80.3284153005,F,2.62128,2.62128,F,MSL,2.62128
509,25.6144808743,-80.3076502732,G,5.0292,3.62712,G,MSL,5.0292
510,25.6150273224,-80.3068306011,E,5.05968,3.62712,E,MSL,5.05968
512,25.5448087432,-80.3420765027,G,4.7244,4.572,G,MSL,4.7244
513,25.6098360656,-80.3095628415,E,4.93776,3.68808,E,MSL,4.93776
514,25.6098360656,-80.3040983607,E,4.93776,3.68808,E,MSL,4.93776
515,25.6092896175,-80.3128415301,G,4.1148,4.1148,G,MSL,4.1148
516,25.6087431694,-80.3109289617,F,4.93776,4.69392,F,MSL,4.93776
517,25.6090163934,-80.3128415301,G,4.02336,3.81,G,MSL,4.02336
518,25.6087431694,-80.312568306,G,4.29768,4.29768,G,MSL,4.29768
519,25.6084699454,-80.312568306,F,4.23672,4.23672,F,MSL,4.23672
520,25.6073770492,-80.3166666667,F,3.56616,2.95656,F,MSL,3.56616
521,25.6076502732,-80.312295082,G,5.0292,4.48056,G,MSL,5.0292
522,25.606557377,-80.3136612022,F,4.14528,4.14528,F,MSL,4.14528
523,25.6027322404,-80.3112021858,F,5.15112,1.95072,F,MSL,5.15112
525,25.600273224,-80.3183060109,E,4.48056,3.90144,E,MSL,4.48056
526,26.600273224,-80.3183060109,F,4.48056,3.90144,F,MSL,4.48056
530,25.593715847,-80.3475409836,F,2.10312,2.10312,F,MSL,2.10312
531,25.593715847,-80.3472677596,F,2.1336,2.1336,F,MSL,2.1336
532,25.587704918,-80.3237704918,F,3.29184,3.29184,F,MSL,3.29184
534,25.5844262295,-80.3270491803,E,3.07848,2.65176,E,MSL,3.07848
535,25.5836065574,-80.3224043716,E,3.07848,2.19456,E,MSL,3.07848
539,25.5423497268,-80.3308743169,F,2.01168,2.01168,F,MSL,2.01168
540,25.5461748634,-80.3415300546,F,2.286,2.286,F,MSL,2.286
541,25.537431694,-80.3472677596,E,3.13944,2.7432,E,MSL,3.13944
543,25.5423497268,-80.331147541,F,3.59664,2.40792,F,MSL,3.59664
544,25.5385245902,-80.3284153005,F,3.6576,1.70688,F,MSL,3.6576
546,25.537431694,-80.3273224044,E,3.84048,1.9812,E,MSL,3.84048
548,25.5371584699,-80.3505464481,F,2.04216,1.46304,F,MSL,2.04216
550,25.5366120219,-80.3396174863,F,1.58496,1.58496,F,MSL,1.58496
551,25.5191256831,-80.3461748634,E,2.68224,2.10312,E,MSL,2.68224
601,25.5243169399,-80.1759562842,G,2.10312,0.9144,G,MSL,2.10312
602,25.5237704918,-80.1756830601,G,1.55448,0.79248,G,MSL,1.55448
603,25.5245901639,-80.1754098361,G,1.43256,0.27432,G,MSL,1.43256
701,25.4890710383,-80.3469945355,F,2.95656,2.1336,F,MSL,2.95656
702,25.4887978142,-80.3469945355,E,2.5908,2.37744,E,MSL,2.5908
705,25.462295082,-80.337431694,E,2.04216,1.34112,E,MSL,2.04216
706,25.4620218579,-80.3368852459,E,2.10312,1.31064,E,MSL,2.10312
707,25.4612021858,-80.3387978142,G,2.04216,1.73736,G,MSL,2.04216
708,25.4614754098,-80.343715847,F,1.88976,1.28016,F,MSL,1.88976
709,25.4393442623,-80.3292349727,F,1.49352,1.49352,F,MSL,1.49352
710,25.4390710383,-80.3292349727,F,1.49352,1.49352,F,MSL,1.49352
801,25.4516393443,-80.1961748634,E,2.22504,2.04216,E,MSL,2.22504
1001,25.3336065574,-80.2601092896,F,1.15824,1.15824,F,MSL,1.15824
1004,25.3319672131,-80.2568306011,F,1.24968,1.24968,F,MSL,1.24968
1005,25.3202185792,-80.2702185792,F,1.49352,1.49352,F,MSL,1.49352
1006,25.3101092896,-80.2765027322,F,1.28016,1.28016,F,MSL,1.28016
1007,25.2505464481,-80.3117486339,G,0.9144,0.9144,G,MSL,0.9144
1101,25.2357923497,-80.4341530055,F,0.79248,0.79248,F,MSL,0.79248
1102,25.2109289617,-80.4245901639,F,1.34112,1.34112,F,MSL,1.34112
1103,25.1825136612,-80.3901639344,G,0.94488,0.85344,G,MSL,0.94488
1401,25.1549180328,-81.1259562842,G,2.8956,2.8956,G,MSL,2.8956
1501,25.1338797814,-81.100273224,F,2.4384,2.4384,F,MSL,2.4384
1701,25.8390710383,-81.3819672131,G,1.34112,1.34112,G,MSL,1.34112
1703,25.8387978142,-81.3816939891,G,1.34112,1.34112,G,MSL,1.34112
1801,25.8101092896,-81.362568306,F,1.3716,1.3716,F,MSL,1.3716
1805,25.8092896175,-81.3592896175,G,1.46304,1.2192,G,MSL,1.46304
1901,25.9322404372,-81.65,E,1.70688,1.70688,E,MSL,1.70688
1904,25.9319672131,-81.6554644809,E,1.58496,1.28016,E,MSL,1.58496
1905,25.925136612,-81.6480874317,E,1.64592,1.18872,E,MSL,1.64592
1906,25.925136612,-81.6478142077,E,1.76784,1.31064,E,MSL,1.76784
1907,25.9240437158,-81.650273224,E,2.16408,1.88976,E,MSL,2.16408
1908,25.9234972678,-81.649726776,E,2.07264,1.8288,E,MSL,2.07264
1909,25.9232240437,-81.6494535519,E,2.10312,1.88976,E,MSL,2.10312
1910,25.9218579235,-81.6480874317,E,1.85928,1.49352,E,MSL,1.85928
1911,25.9218579235,-81.6475409836,E,1.88976,1.3716,E,MSL,1.88976
1912,25.9229508197,-81.6453551913,E,1.79832,1.55448,E,MSL,1.79832
1913,25.9232240437,-81.6445355191,F,1.73736,1.73736,F,MSL,1.73736
1914,25.9226775956,-81.643715847,E,1.70688,1.49352,E,MSL,1.70688
1915,25.9229508197,-81.643442623,F,1.88976,1.49352,F,MSL,1.88976
1916,25.9229508197,-81.6431693989,E,1.76784,1.49352,E,MSL,1.76784
1917,25.9237704918,-81.6428961749,E,1.70688,1.46304,E,MSL,1.70688
1918,25.9240437158,-81.6428961749,E,1.6764,1.40208,E,MSL,1.6764
1919,25.9243169399,-81.6428961749,E,1.61544,1.40208,E,MSL,1.61544
1920,25.9245901639,-81.643715847,G,1.61544,1.61544,G,MSL,1.61544
1921,25.9243169399,-81.6442622951,G,1.64592,1.64592,G,MSL,1.64592
1922,25.9243169399,-81.6448087432,G,1.58496,1.58496,G,MSL,1.58496
